File;Trips_Satisfied
./instance_generator/instances/SPREAD_16_SEC_4.0_ENERGY_1.5_EV-FACTOR_16_EV_2_FLEX_300_TPS.txt;76
./instance_generator/instances/SPREAD_16_SEC_4.0_ENERGY_1.5_EV-FACTOR_16_EV_50_FLEX_300_TPS.txt;60
./instance_generator/instances/SPREAD_16_SEC_4.0_ENERGY_1.5_EV-FACTOR_538_EV_10_FLEX_10000_TPS.txt;3316
./instance_generator/instances/SPREAD_16_SEC_4.0_ENERGY_1.5_EV-FACTOR_538_EV_25_FLEX_10000_TPS.txt;3278
./instance_generator/instances/SPREAD_16_SEC_4.0_ENERGY_1.5_EV-FACTOR_538_EV_2_FLEX_10000_TPS.txt;3109
./instance_generator/instances/SPREAD_16_SEC_4.0_ENERGY_1.5_EV-FACTOR_538_EV_50_FLEX_10000_TPS.txt;3472
./instance_generator/instances/SPREAD_16_SEC_4.0_ENERGY_1.5_EV-FACTOR_54_EV_10_FLEX_1000_TPS.txt;227
./instance_generator/instances/SPREAD_16_SEC_4.0_ENERGY_1.5_EV-FACTOR_54_EV_25_FLEX_1000_TPS.txt;234
./instance_generator/instances/SPREAD_16_SEC_4.0_ENERGY_1.5_EV-FACTOR_54_EV_2_FLEX_1000_TPS.txt;247
./instance_generator/instances/SPREAD_16_SEC_4.0_ENERGY_1.5_EV-FACTOR_54_EV_50_FLEX_1000_TPS.txt;246
./instance_generator/instances/SPREAD_16_SEC_4.0_ENERGY_2.0_EV-FACTOR_22_EV_10_FLEX_300_TPS.txt;71
./instance_generator/instances/SPREAD_16_SEC_4.0_ENERGY_2.0_EV-FACTOR_22_EV_25_FLEX_300_TPS.txt;66
./instance_generator/instances/SPREAD_16_SEC_4.0_ENERGY_2.0_EV-FACTOR_22_EV_2_FLEX_300_TPS.txt;73
./instance_generator/instances/SPREAD_16_SEC_4.0_ENERGY_2.0_EV-FACTOR_22_EV_50_FLEX_300_TPS.txt;63
./instance_generator/instances/SPREAD_16_SEC_4.0_ENERGY_2.0_EV-FACTOR_717_EV_10_FLEX_10000_TPS.txt;4276
./instance_generator/instances/SPREAD_16_SEC_4.0_ENERGY_2.0_EV-FACTOR_717_EV_25_FLEX_10000_TPS.txt;4325
./instance_generator/instances/SPREAD_16_SEC_4.0_ENERGY_2.0_EV-FACTOR_717_EV_2_FLEX_10000_TPS.txt;4025
./instance_generator/instances/SPREAD_16_SEC_4.0_ENERGY_2.0_EV-FACTOR_717_EV_50_FLEX_10000_TPS.txt;4459
./instance_generator/instances/SPREAD_16_SEC_4.0_ENERGY_2.0_EV-FACTOR_72_EV_10_FLEX_1000_TPS.txt;299
./instance_generator/instances/SPREAD_16_SEC_4.0_ENERGY_2.0_EV-FACTOR_72_EV_25_FLEX_1000_TPS.txt;304
./instance_generator/instances/SPREAD_16_SEC_4.0_ENERGY_2.0_EV-FACTOR_72_EV_2_FLEX_1000_TPS.txt;307
./instance_generator/instances/SPREAD_16_SEC_4.0_ENERGY_2.0_EV-FACTOR_72_EV_50_FLEX_1000_TPS.txt;299
./instance_generator/instances/SPREAD_16_SEC_5.0_ENERGY_1.0_EV-FACTOR_11_EV_10_FLEX_300_TPS.txt;69
./instance_generator/instances/SPREAD_16_SEC_5.0_ENERGY_1.0_EV-FACTOR_11_EV_25_FLEX_300_TPS.txt;65
./instance_generator/instances/SPREAD_16_SEC_5.0_ENERGY_1.0_EV-FACTOR_11_EV_2_FLEX_300_TPS.txt;75
./instance_generator/instances/SPREAD_16_SEC_5.0_ENERGY_1.0_EV-FACTOR_11_EV_50_FLEX_300_TPS.txt;61
./instance_generator/instances/SPREAD_16_SEC_5.0_ENERGY_1.0_EV-FACTOR_358_EV_10_FLEX_10000_TPS.txt;2172
./instance_generator/instances/SPREAD_16_SEC_5.0_ENERGY_1.0_EV-FACTOR_358_EV_25_FLEX_10000_TPS.txt;2290
